"","id","firstname","surname","year","category","affiliation","city","country","born_date","died_date","gender","born_city","born_country","born_country_code","died_city","died_country","died_country_code","overall_motivation","share","motivation","born_country_original","born_city_original","died_country_original","died_city_original","city_original","country_original"
"11",12,"Gabriel","Lippmann",1908,"Physics","Sorbonne University","Paris","France",1845-08-16,1921-07-13,"male","Hollerich","Luxembourg","LU",NA,NA,NA,NA,1,"""for his method of reproducing colours photographically based on the phenomenon of interference""","Luxembourg","Hollerich",NA,NA,"Paris","France"
"12",13,"Guglielmo","Marconi",1909,"Physics","Marconi Wireless Telegraph Co. Ltd.","London","United Kingdom",1874-04-25,1937-07-20,"male","Bologna","Italy","IT","Rome","Italy","IT",NA,2,"""in recognition of their contributions to the development of wireless telegraphy""","Italy","Bologna","Italy","Rome","London","United Kingdom"
"13",14,"Ferdinand","Braun",1909,"Physics","Strasbourg University","Strasbourg","France",1850-06-06,1918-04-20,"male","Fulda","Germany","DE","Brooklyn NY","USA","US",NA,2,"""in recognition of their contributions to the development of wireless telegraphy""","Hesse-Kassel (now Germany)","Fulda","USA","Brooklyn NY","Strasbourg","Germany (now France)"
"14",15,"Johannes Diderik","van der Waals",1910,"Physics","Amsterdam University","Amsterdam","Netherlands",1837-11-23,1923-03-08,"male","Leiden","Netherlands","NL","Amsterdam","Netherlands","NL",NA,1,"""for his work on the equation of state for gases and liquids""","the Netherlands","Leiden","the Netherlands","Amsterdam","Amsterdam","the Netherlands"
"15",16,"Wilhelm","Wien",1911,"Physics","Wurzburg University","Wurzburg","Germany",1864-01-13,1928-08-30,"male","Parusnoye","Russia","RU","Munich","Germany","DE",NA,1,"""for his discoveries regarding the laws governing the radiation of heat""","Prussia (now Russia)","Gaffken (now Parusnoye)","Germany","Munich","Wurzburg","Germany"
"16",17,"Gustaf","Dalen",1912,"Physics","Swedish Gas-Accumulator Co.","Lidingo Stockholm","Sweden",1869-11-30,1937-12-09,"male","Stenstorp","Sweden","SE","Stockholm","Sweden","SE",NA,1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""","Sweden","Stenstorp","Sweden","Stockholm","Lidingo Stockholm","Sweden"
"17",18,"Heike","Kamerlingh Onnes",1913,"Physics","Leiden University","Leiden","Netherlands",1853-09-21,1926-02-21,"male","Groningen","Netherlands","NL","Leiden","Netherlands","NL",NA,1,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""","the Netherlands","Groningen","the Netherlands","Leiden","Leiden","the Netherlands"
"18",19,"Max","von Laue",1914,"Physics","Frankfurt-on-the-Main University","Frankfurt-on-the-Main","Germany",1879-10-09,1960-04-23,"male","Pfaffendorf","Germany","DE","Berlin","Germany","DE",NA,1,"""for his discovery of the diffraction of X-rays by crystals""","Germany","Pfaffendorf","West Germany (now Germany)","Berlin","Frankfurt-on-the-Main","Germany"
"19",20,"William","Bragg",1915,"Physics","University College","London","United Kingdom",1862-07-02,1942-03-12,"male","Wigton","United Kingdom","GB","London","United Kingdom","GB",NA,2,"""for their services in the analysis of crystal structure by means of X-rays""","United Kingdom","Wigton","United Kingdom","London","London","United Kingdom"
"20",21,"Lawrence","Bragg",1915,"Physics","Victoria University","Manchester","United Kingdom",1890-03-31,1971-07-01,"male","Adelaide","Australia","AU","Ipswich","United Kingdom","GB",NA,2,"""for their services in the analysis of crystal structure by means of X-rays""","Australia","Adelaide","United Kingdom","Ipswich","Manchester","United Kingdom"
"21",22,"Charles Glover","Barkla",1917,"Physics","Edinburgh University","Edinburgh","United Kingdom",1877-06-07,1944-10-23,"male","Widnes","United Kingdom","GB","Edinburgh","Scotland","GB",NA,1,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""","United Kingdom","Widnes","Scotland","Edinburgh","Edinburgh","United Kingdom"
"22",23,"Max","Planck",1918,"Physics","Berlin University","Berlin","Germany",1858-04-23,1947-10-04,"male","Kiel","Germany","DE","Gottingen","Germany","DE",NA,1,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""","Schleswig (now Germany)","Kiel","West Germany (now Germany)","Gottingen","Berlin","Germany"
"23",24,"Johannes","Stark",1919,"Physics","Greifswald University","Greifswald","Germany",1874-04-15,1957-06-21,"male","Schickenhof","Germany","DE","Traunstein","Germany","DE",NA,1,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""","Germany","Schickenhof","West Germany (now Germany)","Traunstein","Greifswald","Germany"
"24",25,"Charles Edouard","Guillaume",1920,"Physics","Bureau International des Poids et Mesures (International Bureau of Weights and Measures)","Sevres","France",1861-02-15,1938-06-13,"male","Fleurier","Switzerland","CH","Sevres","France","FR",NA,1,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""","Switzerland","Fleurier","France","Sevres","Sevres","France"
"25",26,"Albert","Einstein",1921,"Physics","Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fur Physik","Berlin","Germany",1879-03-14,1955-04-18,"male","Ulm","Germany","DE","Princeton NJ","USA","US",NA,1,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""","Germany","Ulm","USA","Princeton NJ","Berlin","Germany"
"26",27,"Niels","Bohr",1922,"Physics","Copenhagen University","Copenhagen","Denmark",1885-10-07,1962-11-18,"male","Copenhagen","Denmark","DK","Copenhagen","Denmark","DK",NA,1,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""","Denmark","Copenhagen","Denmark","Copenhagen","Copenhagen","Denmark"
"27",28,"Robert A.","Millikan",1923,"Physics","California Institute of Technology (Caltech)","Pasadena CA","USA",1868-03-22,1953-12-19,"male","Morrison IL","USA","US","San Marino CA","USA","US",NA,1,"""for his work on the elementary charge of electricity and on the photoelectric effect""","USA","Morrison IL","USA","San Marino CA","Pasadena CA","USA"
"28",29,"Manne","Siegbahn",1924,"Physics","Uppsala University","Uppsala","Sweden",1886-12-03,1978-09-26,"male","Orebro","Sweden","SE","Stockholm","Sweden","SE",NA,1,"""for his discoveries and research in the field of X-ray spectroscopy""","Sweden","Orebro","Sweden","Stockholm","Uppsala","Sweden"
"29",30,"James","Franck",1925,"Physics","Goettingen University","Gottingen","Germany",1882-08-26,1964-05-21,"male","Hamburg","Germany","DE","Gottingen","Germany","DE",NA,2,"""for their discovery of the laws governing the impact of an electron upon an atom""","Germany","Hamburg","West Germany (now Germany)","Gottingen","Gottingen","Germany"
"30",31,"Gustav","Hertz",1925,"Physics","Halle University","Halle","Germany",1887-07-22,1975-10-30,"male","Hamburg","Germany","DE","Berlin","Germany","DE",NA,2,"""for their discovery of the laws governing the impact of an electron upon an atom""","Germany","Hamburg","East Germany (now Germany)","Berlin","Halle","Germany"
"31",32,"Jean Baptiste","Perrin",1926,"Physics","Sorbonne University","Paris","France",1870-09-30,1942-04-17,"male","Lille","France","FR","New York NY","USA","US",NA,1,"""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium""","France","Lille","USA","New York NY","Paris","France"
"32",33,"Arthur H.","Compton",1927,"Physics","University of Chicago","Chicago IL","USA",1892-09-10,1962-03-15,"male","Wooster OH","USA","US","Berkeley CA","USA","US",NA,2,"""for his discovery of the effect named after him""","USA","Wooster OH","USA","Berkeley CA","Chicago IL","USA"
"33",34,"C.T.R.","Wilson",1927,"Physics","University of Cambridge","Cambridge","United Kingdom",1869-02-14,1959-11-15,"male","Glencorse","Scotland","GB","Carlops","Scotland","GB",NA,2,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""","Scotland","Glencorse","Scotland","Carlops","Cambridge","United Kingdom"
"34",35,"Owen Willans","Richardson",1928,"Physics","London University","London","United Kingdom",1879-04-26,1959-02-15,"male","Dewsbury","United Kingdom","GB","Alton","United Kingdom","GB",NA,1,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""","United Kingdom","Dewsbury","United Kingdom","Alton","London","United Kingdom"
"35",36,"Louis","de Broglie",1929,"Physics","Sorbonne University Institut Henri Poincare","Paris","France",1892-08-15,1987-03-19,"male","Dieppe","France","FR","Paris","France","FR",NA,1,"""for his discovery of the wave nature of electrons""","France","Dieppe","France","Paris","Paris","France"
"36",37,"Sir Chandrasekhara Venkata","Raman",1930,"Physics","Calcutta University","Calcutta","India",1888-11-07,1970-11-21,"male","Tiruchirappalli","India","IN","Bangalore","India","IN",NA,1,"""for his work on the scattering of light and for the discovery of the effect named after him""","India","Tiruchirappalli","India","Bangalore","Calcutta","India"
"37",38,"Werner","Heisenberg",1932,"Physics","Leipzig University","Leipzig","Germany",1901-12-05,1976-02-01,"male","Wurzburg","Germany","DE","Munich","Germany","DE",NA,1,"""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen""","Germany","Wurzburg","West Germany (now Germany)","Munich","Leipzig","Germany"
"38",39,"Erwin","Schrodinger",1933,"Physics","Berlin University","Berlin","Germany",1887-08-12,1961-01-04,"male","Vienna","Austria","AT","Vienna","Austria","AT",NA,2,"""for the discovery of new productive forms of atomic theory""","Austria","Vienna","Austria","Vienna","Berlin","Germany"
"39",40,"Paul A.M.","Dirac",1933,"Physics","University of Cambridge","Cambridge","United Kingdom",1902-08-08,1984-10-20,"male","Bristol","United Kingdom","GB","Tallahassee FL","USA","US",NA,2,"""for the discovery of new productive forms of atomic theory""","United Kingdom","Bristol","USA","Tallahassee FL","Cambridge","United Kingdom"
"40",41,"James","Chadwick",1935,"Physics","Liverpool University","Liverpool","United Kingdom",1891-10-20,1974-07-24,"male","Manchester","United Kingdom","GB","Cambridge","United Kingdom","GB",NA,1,"""for the discovery of the neutron""","United Kingdom","Manchester","United Kingdom","Cambridge","Liverpool","United Kingdom"
"41",42,"Victor F.","Hess",1936,"Physics","Innsbruck University","Innsbruck","Austria",1883-06-24,1964-12-17,"male","Peggau","Austria","AT","Mount Verno NY","USA","US",NA,2,"""for his discovery of cosmic radiation""","Austria","Peggau","USA","Mount Verno NY","Innsbruck","Austria"
"42",43,"Carl D.","Anderson",1936,"Physics","California Institute of Technology (Caltech)","Pasadena CA","USA",1905-09-03,1991-01-11,"male","New York NY","USA","US","San Marino CA","USA","US",NA,2,"""for his discovery of the positron""","USA","New York NY","USA","San Marino CA","Pasadena CA","USA"
"43",44,"Clinton","Davisson",1937,"Physics","Bell Telephone Laboratories","New York NY","USA",1881-10-22,1958-02-01,"male","Bloomington IL","USA","US","Charlottesville VA","USA","US",NA,2,"""for their experimental discovery of the diffraction of electrons by crystals""","USA","Bloomington IL","USA","Charlottesville VA","New York NY","USA"
"44",45,"George Paget","Thomson",1937,"Physics","London University","London","United Kingdom",1892-05-03,1975-09-10,"male","Cambridge","United Kingdom","GB","Cambridge","United Kingdom","GB",NA,2,"""for their experimental discovery of the diffraction of electrons by crystals""","United Kingdom","Cambridge","United Kingdom","Cambridge","London","United Kingdom"
"45",46,"Enrico","Fermi",1938,"Physics","Rome University","Rome","Italy",1901-09-29,1954-11-28,"male","Rome","Italy","IT","Chicago IL","USA","US",NA,1,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons""","Italy","Rome","USA","Chicago IL","Rome","Italy"
"46",47,"Ernest","Lawrence",1939,"Physics","University of California","Berkeley CA","USA",1901-08-08,1958-08-27,"male","Canton SD","USA","US","Palo Alto CA","USA","US",NA,1,"""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements""","USA","Canton SD","USA","Palo Alto CA","Berkeley CA","USA"
"47",48,"Otto","Stern",1943,"Physics","Carnegie Institute of Technology","Pittsburgh PA","USA",1888-02-17,1969-08-17,"male","Zory","Poland","PL","Berkeley CA","USA","US",NA,1,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""","Germany (now Poland)","Sorau (now Zory)","USA","Berkeley CA","Pittsburgh PA","USA"
"48",49,"Isidor Isaac","Rabi",1944,"Physics","Columbia University","New York NY","USA",1898-07-29,1988-01-11,"male","Rymanow","Poland","PL","New York NY","USA","US",NA,1,"""for his resonance method for recording the magnetic properties of atomic nuclei""","Austria-Hungary (now Poland)","Rymanow","USA","New York NY","New York NY","USA"
"49",50,"Wolfgang","Pauli",1945,"Physics","Princeton University","Princeton NJ","USA",1900-04-25,1958-12-15,"male","Vienna","Austria","AT","Zurich","Switzerland","CH",NA,1,"""for the discovery of the Exclusion Principle also called the Pauli Principle""","Austria","Vienna","Switzerland","Zurich","Princeton NJ","USA"
"50",51,"Percy W.","Bridgman",1946,"Physics","Harvard University","Cambridge MA","USA",1882-04-21,1961-08-20,"male","Cambridge MA","USA","US","Randolph NH","USA","US",NA,1,"""for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics""","USA","Cambridge MA","USA","Randolph NH","Cambridge MA","USA"
"51",52,"Edward V.","Appleton",1947,"Physics","Department of Scientific and Industrial Research","London","United Kingdom",1892-09-06,1965-04-21,"male","Bradford","United Kingdom","GB","Edinburgh","Scotland","GB",NA,1,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""","United Kingdom","Bradford","Scotland","Edinburgh","London","United Kingdom"
"52",53,"Patrick M.S.","Blackett",1948,"Physics","Victoria University","Manchester","United Kingdom",1897-11-18,1974-07-13,"male","London","United Kingdom","GB","London","United Kingdom","GB",NA,1,"""for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation""","United Kingdom","London","United Kingdom","London","Manchester","United Kingdom"
"53",54,"Hideki","Yukawa",1949,"Physics","Kyoto Imperial University","Kyoto","Japan",1907-01-23,1981-09-08,"male","Tokyo","Japan","JP","Kyoto","Japan","JP",NA,1,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""","Japan","Tokyo","Japan","Kyoto","Kyoto","Japan"
"54",55,"Cecil","Powell",1950,"Physics","Bristol University","Bristol","United Kingdom",1903-12-05,1969-08-09,"male","Tonbridge","United Kingdom","GB",NA,"Italy","IT",NA,1,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""","United Kingdom","Tonbridge","Italy",NA,"Bristol","United Kingdom"
"55",56,"John","Cockcroft",1951,"Physics","Atomic Energy Research Establishment","Harwell Berkshire","United Kingdom",1897-05-27,1967-09-18,"male","Todmorden","United Kingdom","GB","Cambridge","United Kingdom","GB",NA,2,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""","United Kingdom","Todmorden","United Kingdom","Cambridge","Harwell Berkshire","United Kingdom"
"56",57,"Ernest T.S.","Walton",1951,"Physics","Trinity College","Dublin","Ireland",1903-10-06,1995-06-25,"male","Dungarvan","Ireland","IE","Belfast","Northern Ireland","GB",NA,2,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""","Ireland","Dungarvan","Northern Ireland","Belfast","Dublin","Ireland"
"57",58,"Felix","Bloch",1952,"Physics","Stanford University","Stanford CA","USA",1905-10-23,1983-09-10,"male","Zurich","Switzerland","CH","Zurich","Switzerland","CH",NA,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""","Switzerland","Zurich","Switzerland","Zurich","Stanford CA","USA"
"58",59,"E. M.","Purcell",1952,"Physics","Harvard University","Cambridge MA","USA",1912-08-30,1997-03-07,"male","Taylorville IL","USA","US","Cambridge MA","USA","US",NA,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""","USA","Taylorville IL","USA","Cambridge MA","Cambridge MA","USA"
"59",60,"Frits","Zernike",1953,"Physics","Groningen University","Groningen","Netherlands",1888-07-16,1966-03-10,"male","Amsterdam","Netherlands","NL","Groningen","Netherlands","NL",NA,1,"""for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope""","the Netherlands","Amsterdam","the Netherlands","Groningen","Groningen","the Netherlands"
"60",61,"Max","Born",1954,"Physics","Edinburgh University","Edinburgh","United Kingdom",1882-12-11,1970-01-05,"male","Wroclaw","Poland","PL","Gottingen","Germany","DE",NA,2,"""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction""","Germany (now Poland)","Breslau (now Wroclaw)","West Germany (now Germany)","Gottingen","Edinburgh","United Kingdom"
"61",62,"Walther","Bothe",1954,"Physics","University of Heidelberg","Heidelberg","Germany",1891-01-08,1957-02-08,"male","Oranienburg","Germany","DE","Heidelberg","Germany","DE",NA,2,"""for the coincidence method and his discoveries made therewith""","Germany","Oranienburg","West Germany (now Germany)","Heidelberg","Heidelberg","Germany"
"62",63,"Willis E.","Lamb",1955,"Physics","Stanford University","Stanford CA","USA",1913-07-12,2008-05-15,"male","Los Angeles CA","USA","US","Tucson AZ","USA","US",NA,2,"""for his discoveries concerning the fine structure of the hydrogen spectrum""","USA","Los Angeles CA","USA","Tucson AZ","Stanford CA","USA"
"63",64,"Polykarp","Kusch",1955,"Physics","Columbia University","New York NY","USA",1911-01-26,1993-03-20,"male","Blankenburg","Germany","DE","Dallas TX","USA","US",NA,2,"""for his precision determination of the magnetic moment of the electron""","Germany","Blankenburg","USA","Dallas TX","New York NY","USA"
"64",65,"William B.","Shockley",1956,"Physics","Semiconductor Laboratory of Beckman Instruments Inc.","Mountain View CA","USA",1910-02-13,1989-08-12,"male","London","United Kingdom","GB","Palo Alto CA","USA","US",NA,3,"""for their researches on semiconductors and their discovery of the transistor effect""","United Kingdom","London","USA","Palo Alto CA","Mountain View CA","USA"
"65",66,"John","Bardeen",1956,"Physics","University of Illinois","Urbana IL","USA",1908-05-23,1991-01-30,"male","Madison WI","USA","US","Boston MA","USA","US",NA,3,"""for their researches on semiconductors and their discovery of the transistor effect""","USA","Madison WI","USA","Boston MA","Urbana IL","USA"
"66",66,"John","Bardeen",1972,"Physics","University of Illinois","Urbana IL","USA",1908-05-23,1991-01-30,"male","Madison WI","USA","US","Boston MA","USA","US",NA,3,"""for their jointly developed theory of superconductivity usually called the BCS-theory""","USA","Madison WI","USA","Boston MA","Urbana IL","USA"
"67",67,"Walter H.","Brattain",1956,"Physics","Bell Telephone Laboratories","Murray Hill NJ","USA",1902-02-10,1987-10-13,"male","Amoy","China","CN","Seattle WA","USA","US",NA,3,"""for their researches on semiconductors and their discovery of the transistor effect""","China","Amoy","USA","Seattle WA","Murray Hill NJ","USA"
"68",68,"Chen Ning","Yang",1957,"Physics","Institute for Advanced Study","Princeton NJ","USA",1922-09-22,NA,"male","Hofei Anhwei","China","CN",NA,NA,NA,NA,2,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""","China","Hofei Anhwei",NA,NA,"Princeton NJ","USA"
"69",69,"Tsung-Dao","Lee",1957,"Physics","Columbia University","New York NY","USA",1926-11-24,NA,"male","Shanghai","China","CN",NA,NA,NA,NA,2,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""","China","Shanghai",NA,NA,"New York NY","USA"
"70",70,"Pavel A.","Cherenkov",1958,"Physics","P.N. Lebedev Physical Institute","Moscow","Russia",1904-07-28,1990-01-06,"male","Novaya Chigla","Russia","RU",NA,"Russia","RU",NA,3,"""for the discovery and the interpretation of the Cherenkov effect""","Russia","Novaya Chigla","USSR (now Russia)",NA,"Moscow","USSR (now Russia)"
"71",71,"Igor Y.","Tamm",1958,"Physics","University of Moscow","Moscow","Russia",1895-07-08,1971-04-12,"male","Vladivostok","Russia","RU","Moscow","Russia","RU",NA,3,"""for the discovery and the interpretation of the Cherenkov effect""","Russia","Vladivostok","USSR (now Russia)","Moscow","Moscow","USSR (now Russia)"
"72",72,"Emilio","Segre",1959,"Physics","University of California","Berkeley CA","USA",1905-02-01,1989-04-22,"male","Tivoli","Italy","IT","Lafayette CA","USA","US",NA,2,"""for their discovery of the antiproton""","Italy","Tivoli","USA","Lafayette CA","Berkeley CA","USA"
"73",73,"Owen","Chamberlain",1959,"Physics","University of California","Berkeley CA","USA",1920-07-10,2006-02-28,"male","San Francisco CA","USA","US","Berkeley CA","USA","US",NA,2,"""for their discovery of the antiproton""","USA","San Francisco CA","USA","Berkeley CA","Berkeley CA","USA"
"74",74,"Donald A.","Glaser",1960,"Physics","University of California","Berkeley CA","USA",1926-09-21,2013-02-28,"male","Cleveland OH","USA","US","Berkeley CA","USA","US",NA,1,"""for the invention of the bubble chamber""","USA","Cleveland OH","USA","Berkeley CA","Berkeley CA","USA"
"75",75,"Robert","Hofstadter",1961,"Physics","Stanford University","Stanford CA","USA",1915-02-05,1990-11-17,"male","New York NY","USA","US","Stanford CA","USA","US",NA,2,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""","USA","New York NY","USA","Stanford CA","Stanford CA","USA"
"76",76,"Rudolf","Mossbauer",1961,"Physics","Technical University","Munich","Germany",1929-01-31,2011-09-14,"male","Munich","Germany","DE",NA,NA,NA,NA,2,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""","Germany","Munich",NA,NA,"Munich","Germany"
"77",77,"Lev","Landau",1962,"Physics","Academy of Sciences","Moscow","Russia",1908-01-22,1968-04-01,"male","Baku","Azerbaijan","AZ","Moscow","Russia","RU",NA,1,"""for his pioneering theories for condensed matter especially liquid helium""","Russian Empire (now Azerbaijan)","Baku","USSR (now Russia)","Moscow","Moscow","USSR (now Russia)"
"78",78,"Eugene","Wigner",1963,"Physics","Princeton University","Princeton NJ","USA",1902-11-17,1995-01-01,"male","Budapest","Hungary","HU","Princeton NJ","USA","US",NA,2,"""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles""","Austria-Hungary (now Hungary)","Budapest","USA","Princeton NJ","Princeton NJ","USA"
"79",79,"Maria","Goeppert Mayer",1963,"Physics","University of California","San Diego CA","USA",1906-06-28,1972-02-20,"female","Katowice","Poland","PL","San Diego CA","USA","US",NA,4,"""for their discoveries concerning nuclear shell structure""","Germany (now Poland)","Kattowitz (now Katowice)","USA","San Diego CA","San Diego CA","USA"
"80",80,"J. Hans D.","Jensen",1963,"Physics","University of Heidelberg","Heidelberg","Germany",1907-06-25,1973-02-11,"male","Hamburg","Germany","DE","Heidelberg","Germany","DE",NA,4,"""for their discoveries concerning nuclear shell structure""","Germany","Hamburg","West Germany (now Germany)","Heidelberg","Heidelberg","Germany"
"81",81,"Charles H.","Townes",1964,"Physics","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",1915-07-28,2015-01-27,"male","Greenville SC","USA","US","Berkeley CA","USA","US",NA,2,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""","USA","Greenville SC","USA","Berkeley CA","Cambridge MA","USA"
"82",82,"Nicolay G.","Basov",1964,"Physics","P.N. Lebedev Physical Institute","Moscow","Russia",1922-12-14,2001-07-01,"male","Usman","Russia","RU","Moscow","Russia","RU",NA,4,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""","USSR (now Russia)","Usman","Russia","Moscow","Moscow","USSR (now Russia)"
"83",83,"Aleksandr M.","Prokhorov",1964,"Physics","P.N. Lebedev Physical Institute","Moscow","Russia",1916-07-11,2002-01-08,"male","Atherton","Australia","AU","Moscow","Russia","RU",NA,4,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""","Australia","Atherton","Russia","Moscow","Moscow","USSR (now Russia)"
"84",84,"Sin-Itiro","Tomonaga",1965,"Physics","Tokyo University of Education","Tokyo","Japan",1906-03-31,1979-07-08,"male","Kyoto","Japan","JP","Tokyo","Japan","JP",NA,3,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""","Japan","Kyoto","Japan","Tokyo","Tokyo","Japan"
"85",85,"Julian","Schwinger",1965,"Physics","Harvard University","Cambridge MA","USA",1918-02-12,1994-07-16,"male","New York NY","USA","US","Los Angeles CA","USA","US",NA,3,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""","USA","New York NY","USA","Los Angeles CA","Cambridge MA","USA"
